nb	line	code_http	encodage	nb_mot
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	   13928
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    4134
3	fr.wikipedia.org/wiki/Robot_d%27indexation	Page_Not_Found	No_encodage	       0
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    6544
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    4019
6	https://roboty.magistry.fr	Page_Not_Found	No_encodage	       0
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	Page_Not_Found	UTF-8	    2294
8	https://fr.wiktionary.org/wiki/robot	200	UTF-8	   17789
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	    4231
10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	   22030
